Index,IPA
0,ɛlɐ ʃɔbɐe̯ ʃɔbɐɾ hɐt̪ot̪ <> ʃɔbɐe̯ mɐnuʃ ɐce?
1,ke͡u̯ kɐɾo ɪjɐ nɐ͡ɪ̯।
2,"ɛlɐ o͡ɪ̯ ɟe, ko͡ɪ̯lkɐ bɛtɐe̯ ɪpt̪ɐɾɪ ɐnce, khɐ͡ɪ̯coŋ, ɪpt̪ɐɾɪ ɛte phɪɾɪd̪o t̪hu͡ɪ̯coŋ, ɐ͡ɪ̯ɟkɐ elɐ khɐ͡ɪ̯m।"
3,ɐɾ mu͡ɪ̯ ɐgeʃ kɪ koɾcɪnu?
4,"<> ɐgeɾ kɔt̪ɐ bɐd̪ d̪e͡o̯, elɐ nɐ͡ɪ̯।"
5,ɐgeɾ d̪ɪn bɦulɪ ɟɐ͡o̯।
6,"ɐget̪ kemon ɪkkɐ ɐchɪlo, ɐge t̪omɐɾ, elɐ ɐce?"
7,ɐge t̪omɐɾ ɟɪnɪʃ-pɐt̪ɪɾ d̪ɐmɔ͡o̯ kɔm ɐchɪlo।
8,"ɛkon mone koɾo, tɛkɐɐ͡ɪ̯lɐ ʃɐɾɪnok, ʃɐɾɪnɪɾ mɐ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ bɔ͡u̯jk, phɪɾoɟeɾ b"
9,"ɐɾ ɐge tehɐ ɐlɐ ɐlɪm khɐl, kɐe̯?"
10,ɟɐe̯ bɐɟɐɾ nɪjɐ hɐɽt̪ geʃɪl ɐɾ ɐcchɪlo।
11,d̪u͡ɪ̯tɐ tehɐ t̪ɐɾɪ ɐʃɪl।
12,ɐllɐhɾ kɐche hɐɟɐɾ ʃumɔɾ moɾ kono ɟɪnɪʃeɾ thɔkɐ nɐ͡ɪ̯।
13,bɔ͡u̯ nɐjɐe̯?
14,<> t̪omɐɾ kɪʃeɾ e͡ɪ̯ thɔkɐ t̪omɐɾ <> t̪omɐɾ <> thɔkɐ t̪omɐɾ <>
15,"ɐllɐh, ɐllɐh ɟẽ ɟɪmɪn nɐ͡ɪ̯ hɐt̪ pɐjeɾ d̪ɪjɐ e͡ɪ̯ ʃumɔɾ kɐcche।"
16,lɐkho ʃukɾɪjɐ।
17,e͡ɪ̯ bɐɽeɾ ɟɔmɐe̯ ɔɾehɔe̯ hɔnu hɔe̯ bɐbɐ।
18,kɐ͡ɪ̯jo kɪchu d̪ɪle nɐ hɔe̯।
19,e͡ɪ̯ ɛkhonɐ ɛkhonɐ <> kɐ͡ɪ̯ kɪ d̪ɪbe?
20,o͡ɪ̯llɐ nɔe̯ kɔt̪ɐ।
21,kɐɾo।
22,o͡ɪ̯ɟe kɔt̪phɔl d̪ɪʃʃeɾ mɐlɪk ɐllɐh ɟɐɾ ʃɔmɔt̪o t̪ɔt̪o phɔl t̪emon d̪ebe।
23,t̪ɔmon d̪ebe।
24,phɔʃɔmɪt̪o bole d̪ɪʃe bole kɔ͡ɪ̯lkɐ bole।
25,kɪ d̪ɪʃe?
26,ɐ̃mmɐltɐ bole lɐl ho͡ɪ̯ʃe।
27,kɐlɪ phɔʃɔŋkɔt̪ ɔnekɟɔne d̪ɪʃe ɛtɐ।
28,kɪ t̪ɐ kɪ?
29,"o͡ɪ̯ɟe t̪ɐɾɐɾ ɟẽ, t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hɔɾɪl nɐ।"
30,t̪ɐɾɐɾ ɟẽ ʃed̪ɪn bɐ hɔɾɪm।
31,<> ɐʃole e͡ɪ̯t̪ɐ ho͡ɪ̯lo ʃɐmone d̪uɾbɦɔk d̪ekhɐ d̪ɪbe t̪ɐɾ ɛkt̪ɐ ʃɔɾon।
32,ɐɾe ɛtɐ bol ɟekon ɛktɐ ʃɔmɔn mu͡ɪ̯ t̪o ko͡ɪ̯ʃ d̪ekhɪjɐ।
33,"kɔ͡ɪ̯lkɐ bole, t̪ɐmɐn ɐʃɐʃ bole ɪjɐ ho͡ɪ̯be।"
34,"e͡ɪ̯ ɟɔmɐne ɔnek ko͡ɪ̯ce ɟe, ɛk bɔcɾeɾ khɐbɐɾ moɟɟɪt̪ ɾɐkhɐɾ ɟɐmɐɾ ɟɐmɐɾ ɟɐmɐɾ ɟɐmɐɾ ɟɐmɐɾ ɟɐmɐɾ ɟɐmɐɾ ɟɐmɐɾ ɟɐmɐɾe।"
35,<> ɐllɐ!
36,"ɾoɟɐ pɔnoɾo d̪ɪnot̪o, khɐbɐɾ kɪc mɔɟɟɪt̪ ɾɐkhɐɾ ɟɔɾe।"
37,ʃɔmɐɾe?
38,"ʃɔmɔɾ nɐ, bɪbɦɪn ɟɔne bɔɽt̪eche ɐɾ kɪ।"
39,"d̪ɦɐɾ, o͡ɪ̯gɐ kɔt̪ɐ ko͡ɪ̯ʃ nɐ, d̪ɪn <>"
40,"ʃɔmɐɾe d̪ee̯ nɐ͡ɪ̯ <> e͡ɪ̯ ʃɔmo, ɛkno e͡ɪ̯ ɟe, ʃɔmoʃɔɾeɾ ɟɔgo।"
41,"ɟɐmɐɾ moɟɟɪ ɾɐkhe, t̪ɐmɾɐɾ ɛkn khɐbɐɾ pɐe̯ nɐ।"
42,e͡ɪ̯tɐe̯ ɟɐnɪ ɾɐk।
43,"ʃe͡ɪ̯tɐ t̪o pɐe̯ nɐ, kɪnt̪u ɔneke͡ɪ̯ ko͡ɪ̯ce ɐɾ kɪ, ɟe ʃuɾpɔɾ ɾɔmɟɐn ʃuɾpɔɾ, mɐɟeɾ ɾomɟɐn ʃuɾpɔɾ, mɐɟeɾ ɾomɟɐn ʃuɾpɔɾ, mɐɟeɾ ɾomɟɐn ʃuɾpɔɾ, mɐ"
44,ɛktɐ cɪd̪ɦɐ d̪ekhɐ gelo ɐʃɔmɔɾt̪ e͡ɪ̯tɐ ho͡ɪ̯lo ʃɔbɦɐd̪ ʃɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐllɐll
45,"ʃɔkɾbɐɾ, ʃoɾkɐɾ bɐɽbe bɐɟɐt̪ ʃɔmɔe̯ ɾɔmɟɐn ʃophɔɾe pɔɾe nɐ͡ɪ̯।"
46,<> pɾo͡ɪ̯ɽcche t̪o ʃɔɾol t̪ɐɾd̪e।
47,pɔɽche t̪o।
48,<> pɔɾeɾo t̪ɐɾd̪d̪d̪d̪d̪d̪d̪d̪ɦ pɔɾbe nɐ ʃuɾbɐɾ।
49,ʃolo t̪ɐɾɪk ʃolo।
50,ʃo͡o̯lo t̪ɐɾɪk koɾben?
51,"ho,e͡ɪ̯t̪ɪ poɾt̪oɾ ɾomɟɐn ʃuɾpɔɾ bɐ͡ɪ̯lo nɐ?"
52,t̪ɐ͡ɪ̯le mɐɟeɾ ɾomɟɐ͡o̯ ʃuɾpɔɾ bɐ͡ɪ̯ʃe।
53,"mɐɟeɾ, put̪ɪd̪ɪn t̪o koɾt̪e ɐcɪ, ʃuɾbɐɾ t̪o, <> ɐɾe mɐɟeɾ ɾomɟɐneɾ kɔt̪ɐ ko͡ɪ̯ce।"
54,mɐɟeɾ ɾomɟɐn pɔnoɾo pɐɾ ho͡ɪ̯le?
55,"ho,h।"
56,"ʃoɾlo ɾɐɟɐ, ʃe͡ɪ̯tɐ ʃuɾbɐɾ pɔɽbe?"
57,"e͡ɪ̯ t̪o ɐgeɾ bɐlɐ͡o̯, e͡ɪ̯ mot dɐkpɐɾ nɐge, mu͡ɪ̯ ko͡ɪ̯ce।"
58,ʃɔbɐɾ coke pɔɽbe।
59,"<> e͡ɪ̯gɐ ʃono, moɾʃɐmɔnok e͡ɪ̯gɐ kɪc kɔ͡o̯wɐ ɟɐbɐnɐe̯, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾon, ɟɐɾ kɐɾ"
60,"o͡ɪ̯ ɟe, ɛkbɐɾ ho͡ɪ̯lo cɐ̃d̪eɾ mod̪d̪e kɪ?"
61,oɾe ɐllɐ!
62,o͡ɪ̯ ɟe ʃɐ͡ɪ̯d̪ɪ bɔʃɪ ɐce।
63,e͡ɪ̯gɔlɐ kɔ͡o̯wɐ ɟɐe̯ nɐ।
64,"t̪ɐ͡ɪ̯ ɟe ɛkbɐɾe nɐphɔɾmɐnɪ, ɟɐmɐɾ e͡ɪ̯tɐ bɦɐbɪ ko͡ɪ̯ɾbe।"
65,e͡ɪ̯tɐ bɔlɐ ɟɐbe nɐ।
66,"ɐɾe otɐ ɛktɐ, bɦɐ͡u̯ ɛktɐ ɪjɐ͡o̯ ɾɐ͡ɪ̯chɪlo।"
67,o͡ɪ̯ɟe ʃɐ͡ɪ̯d̪ɪ pɐgɾɪ d̪ɪjɐ beʃɪ ɐce।
68,o͡ɪ̯ ɟe ɐmɐɾ ɐchɪlo nɐ?
69,moɾ ʃɐt̪e e͡ɪ̯ ɟe kɐɟɐn e͡ɪ̯hɐn nɪjɐ।
70,kɔe̯ kɪ?
71,"kɔe̯ bole, ɐʃole o͡ɪ̯tɐ ʃɐ͡ɪ̯d̪ɪ।"
72,bole t̪u͡ɪ̯ moʃɐmɐne nɐ͡o̯ʃ।
73,"<> ɐllɐɾ kɐce ɐɾd̪d̪ɐ koɾɪ ɐɾ, mɔd̪d̪ɐ koɾɪ ɐɾ, mɔd̪d̪ɐ koɾɪ ɐɾ, mɔd̪d̪d̪ɐ koɾɪ ɐɾ, mɔd̪d̪d̪ɐ koɾɪ ɐɾ, mɔd̪d̪d̪ɐ koɾɪ ɐɾ, mɔd̪d̪d̪d̪ɐ koɾɪ ɐɾ, mɐd̪d̪d̪"
74,ɐllɐ ɟe kɪ koɾbe!
75,ɐce ode।
76,"kemon, ɐllɐe̯ ɟod̪ɪ ɪmɔm ɐmɐne ɟod̪ɪ bɪʃɐm koɾɐe̯, ʃe͡ɪ̯tɐ ɐllɐɾ kɐce bɪʃɐl।"
77,ʃe <> bɪjɐ koɾce?
78,"ho, ɐɟhɐɾ bɪjɐ koɾce, phɪɾ chɐ͡o̯wɐ ho͡ɪ̯ce uɾ।"
79,ɐɟhɐɾ bɪjɐ koɾce phɪɾ moɾe ho͡ɪ̯lo ɪjɛk d̪ɦɐt̪o bo͡ɪ̯neɾ bɪjɐ hɔe̯ nɐ͡ɪ̯?
80,"t̪ɐɾe nɪd̪ɪk bɪjɐ koɾce, d̪ɛkco mu͡ɪ̯।"
81,"o͡ɪ̯ ɟe, omɐɾ bɐɽɪt̪o ɟe ɐchɪlo।"
82,ɐɾe omɐɾ bɐɽɪt̪o nɔjɐe̯।
83,ɐɾe kon ɐmɐɾeɾ kɔt̪ɐ kɔɾ?
84,ɛte ɟe phɐɾɐmɔt̪ ɐchɪlo।
85,"ho, ʃe͡ɪ̯ ɐmɐɾeɾ kɔt̪ɐ kɔɾ nɐ <> nɐ,nɐ o͡ɪ̯ ɪcɐkɐpɾɐɾeɾ ɐmɐɾ।"
86,"o, ʃe͡ɪ̯ ɐmɐjɐɾ bɪjɐ koɾe nɐ͡ɪ̯।"
87,"bɪjɐ koɾce, dɪbɦɐʃ ho͡ɪ̯ce, ɐbɐɾ"
88,"e͡ɪ̯kkɐe̯ ɪcɐd̪d̪ɦɐɾeɾ ɐmɐɾ, ɪcɐd̪ɦɐɾ ɐmɐɾ।"
89,"ellɐ o͡ɪ̯ ɟe, ujeɾ cɐct̪o bɦɐ͡ɪ̯, ɟɛtɐt̪o bɦɐ͡ɪ̯, gɛtɐt̪o bɦɐ͡ɪ̯।"
90,o͡ɪ̯ ɐmɐɾeɾ ʃɐt̪e ujɐɾ mɪle nɐ͡ɪ̯।
91,"nɐ go, ɟɐ͡ɪ̯।"
92,ɐ͡ɪ̯ɟkɐ kɪ khɐ͡o̯wɐ-d̪ɐ͡o̯wɐ kɪ koɾce?
93,"ɐ͡ɪ̯ɟkɐ ho͡ɪ̯lo dɪ͡ɪ̯l, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm, dɪm"
94,kɪnt̪u ʃo͡ɪ̯d̪ɦɐe̯ t̪o o͡ɪ̯ dɪm-dɪl ɐɾ
95,"e͡o̯ t̪o, cɐcɪ ɾoɟɐ t̪hɐke nɐ?"
96,"nɐ, ʃo͡ɪ̯nd̪d̪ɦɐm, ɐɾ ɾɐ͡ɪ̯t̪o, ʃɪhɐɾɪɾ ʃɔmɔe̯, cɐcɪ ɾoɟɐ t̪hɐke nɐ?"
97,"hum, t̪hɐke।"
98,ɾoɟɐ t̪hɐ͡ɪ̯kkɐnɐe̯?
99,"ʃɪhɐɾɪɾ ʃɔmɔe̯ ɛkbɐɾ e͡o̯ koɾɪm, bɐ͡ɪ̯gono o͡ɪ̯glɐ bɦɐɟɪm, dɪm bɦɐɟɪm।"
100,"o͡ɪ̯ ɟe, ge͡ɪ̯ce ɾo͡ɪ̯।"
101,"kɔ͡ɪ̯lkɐ mɐc ɐnd̪ɪm, lɐ͡u̯ d̪ɪjɐ।"
102,lɐ͡u̯konɐ kɔ͡ɪ̯lpɐɾ nɐ͡ɪ̯gbe।
103,"o͡ɪ̯, phɪɾd̪uʃɪɾ mɐ͡o̯ lɐ͡u̯ d̪ɪjɐ ɐcce, o͡ɪ̯d̪ɦon ɐnd̪ɪbɐɾ ko͡ɪ̯t̪o।"
104,kɛ ɾe͡ɪ̯?
105,"phɪɾd̪uʃɪɾ mɐ͡o̯ kɔ͡ɪ̯lkɐe̯ nɪjɐ ɟɐbe, nɐ ɐ͡ɪ̯ɟkɐe̯ nɪjɐ ɟɐ͡ɪ̯be?"
106,mɐc nɐ͡ɪ̯?
107,lɐ͡u̯ khɐbɐnnɐe̯।
108,mɐc nɪjɐ ɐ͡ɪ̯ʃo hɐp keɟɪ ɟɐjɐ।
109,"kɔ͡ɪ̯lkɐ mot nɪjɐ ɟɐbɐɾ ko͡ɪ̯lo, mu͡ɪ̯ koŋ mɐ͡ɪ̯nʃoŋ d̪e͡o̯ <> hɐmɐk d̪ɪlo nɐ kɛ?"
110,lɐ͡u̯?
111,lɐ͡u̯ khɐn?
112,lɐ͡u̯ nɐ͡ɪ̯ t̪o।
113,<> ɔ͡ɪ̯nnɐe̯ mu͡ɪ̯ nɪjɐ genu hɔe̯।
114,lɐ͡u̯ khɐn t̪oɾɐ?
115,mɐc t̪u͡ɪ̯coŋ।
116,khɐe̯ nɐ?
117,"ɐmɐɾe bɔɽle, lɐ͡u̯ ɐnɐ lɐgbe।"
118,"lɐ͡u̯, ʃɐd̪eɾ lɐ͡u̯।"
119,o͡ɪ̯ mɪnɪɾ mɐ͡o̯’ɾ lɐ͡u̯ ɐce।
120,o͡ɪ̯ ɐnd̪ɪle mu͡ɪ̯ omɐɾ t̪hɐkɪ nɪjɐ ɟɐ͡ɪ̯m।
121,omɐɾ lɐ͡u̯ ʃeɟe nɐ।
122,ebɐɾ lɐ͡u̯ phɪɾ d̪ekhɔlo t̪o kɔjtɐ bɐɟe?
123,<> bɪʃɪɾ mɐɾ lɐ͡u̯ phɪɾ hɔjgɐ ɟɐe̯।
124,ʃɐɽe cɐ͡ɪ̯ɾte bɐɟe।
125,"<> ɛkke <> ho͡ɪ̯lɔ͡o̯ hɔ͡ɪ̯lɔ͡o̯ hɔɾgolle, ɛkke pɔcɐ ho͡ɪ̯lɔ͡o̯ ɐɾo hɔgolgole।"
126,e͡ɪ̯lɪje ɟɐk nɐ͡u̯ nɐ͡ɪ̯jɐe̯?
127,"mu͡ɪ̯ o͡ɪ̯ mɐch, o͡ɪ̯ lɐ͡u̯jeɾ ɟɔne mɐch bɐ͡ɪ̯ɾ koɾmo nɐ ɟe ko͡ɪ̯lke mu͡ɪ̯ lɐ͡u̯ mɐch bɐ͡ɪ̯ɾ koɾɪ lɐ͡u̯ d̪ɪje।"
128,kode t̪hɐkɪ lɐ͡u̯ nɪben?
129,kɐɾ lɐ͡u̯?
130,moɾ bɦɐ͡ɪ̯te e͡ɪ̯ kɔjd̪ɪn ɐchɪlo।
131,mɐch kenɐ nɐge nɐ͡ɪ̯।
132,kɛ kɛde t̪hɐkɪ <> ɐɟ kɔt̪ɪd̪ɪn t̪hɐkɪ kɪbe?
133,oɾe ɐllɐh!
134,o͡ɪ̯ ɟe cɪjɐɾmeno bɪɟɪ ɾɐkhche।
135,ɛkbɐɾe ɛk mɔnn koɾɪ ɐchɪlo।
136,ɐd̪ mɔd̪ koɾɪ ɐchɪlo।
137,ɟe ɛkhonɐ ho͡ɪ̯lo chojtɐ bɐɾo t̪eɾokheno lɐ͡u̯je d̪ɦɔɾche ɐgeɾ chojtɐ।
138,"ɐɾo pɐʃtɐ <> e͡ɪ̯ ɟe ʃɐgo ɟe bɐchɪlo, ʃɐgo d̪ehɐ pɐt̪ɐ kɔt̪ɔt̪ɐ kɔt̪ɔt̪ɐ kɔt̪ɔt̪ɔmɔlɐ͡o̯, dɐtɐgol d̪ehɐ kɔt̪ɔmɔle d̪ehɐ kɔt̪ɔmɔle?"
139,<> obɐɾ bɐɾo t̪eɾdɐ d̪ɦɐkchɪlo।
140,<> e͡ɪ̯ gɐche d̪ɦɔjtɐ।
141,hɐmɾɐ ɛkd̪ɪn ɛktɐ khɐchɪ।
142,e͡ɪ̯e!
143,ɛt̪ɪ ɾe <> phɪɾ eɾ phɪɾ mɪchɐ kɔt̪ɐ ʃuʃɪne hɔe̯ e͡o̯ hɔe̯ kɔjd̪ɪn d̪eche।
144,<> kɐe̯?
145,<> khɐbɐɾ ko͡ɪ̯chɔm।
146,d̪ee̯ nɐ͡ɪ̯ <> e ko͡ɪ̯ moɾ bɦɐk nɐche?
147,e͡ɪ̯।
148,d̪ehɐ t̪o।
149,mok ɟe ko͡ɪ̯chɔm moɾ bɦɐk nɐche mok <>
150,mɐŋ konotɐ mɐŋ।
151,hɐ hɐ hɐ।
152,mɐŋ।
153,e <> bɐbɦɐbɐ।
154,<> elɐ t̪o o͡ɪ̯ ɟe elɐɾ bole <>
155,odɐ ɪjɐɾ bɐɽɪt̪o t̪u͡ɪ̯che t̪o।
156,"nɐ, moɾ bɐ͡ɪ̯t̪o <> ɟɐmɐ͡ɪ̯ɾ bɐɽɪt̪o t̪hu͡ɪ̯che, ɾɐkhche।"
157,ɾɔŋpɐɾt̪ ɟe͡ɪ̯te bɐʃɐ।
158,sɪlɐ͡ɪ̯ koɾe nɐ͡ɪ̯ bole।
159,teh p lɐge lɐge d̪ɪche।
160,teh nɐge d̪ee̯।
161,o͡ɪ̯pɐʃe ɾoʃ pɔɽe।
162,ɾoʃ pɔɽɪ pɔɽe ɪjɐ ho͡ɪ̯be।
163,phɔlɐe̯ d̪ɪbeɾ nɐe̯।
164,<> gɐ͡o̯ d̪ɦo͡o̯ nɐ͡ɪ̯?
165,e͡ɪ̯d̪en phun ho͡ɪ̯be।
166,o͡ɪ̯d̪eon phun hobɐɾ nɐ?
167,o͡ɪ̯pɐʃe ɾed pɔɽɪ pɔɽɪ pɔɽɪ pɔɽɪ pɔɽɪ bɦɐlo nɐge nɐ?
168,mɔlɐ pɔɽɪ pɔɽɪ lɐ͡ɪ̯n koɾɪ d̪ɪbe।
169,t̪ɐɾ pɔɾeʃe ʃukle <> mɐd̪ɾɪt̪ɐ bɦɐlo lɐge?
170,ɐɾ t̪hɐkɪne bɐbɐ ɟɐ͡ɪ̯।
171,kɪ ɐnd̪ɪben betɪ?
172,"pɐnʃɐk koɾmo mɐch pɐ mɐch, begun, ɐlu, kɐlɐ͡ɪ̯ɾ bɔɾɐ bɦɐɟɔmo d̪u͡ɪ̯te।"
173,e͡ɪ̯te e͡ɪ̯te d̪ekhɪ mɐd̪ɾɪt̪o pɔɽɐ <>
174,e͡ɪ̯ nɪje ɟɐe̯ nɐ kɛmbɐ e͡ɪ̯?
175,ɐllɐe̯ ɟɐne।
176,kɪ ɟe ʃɔjt̪ɐɾ dɦuŋche!
177,pɐ͡ɪ̯ɽbeɾ nɔ͡ɪ̯ʃ ɐɾ mɐd̪ɾɪʃɐ?
178,kɪ ko͡ɪ̯!
179,"ɟod̪ɪk ko͡ɪ̯, gɐt̪eɾ ɔpɔɾ d̪ɪje ɟɐ͡ɪ̯be bole bo͡ɪ̯।"
180,ɟɐɽe kɔ ɛkhonɐ।
181,buɟchɪʃ?
182,"ɐɾ o͡ɪ̯ ɟe kɔe̯ ɟe, ""mɪlɪ bedɪ ʃɔn।"""
183,"o͡ɪ̯ ɟe ɐgeɾkɐɾ mɐ͡ɪ̯nʃe ko͡ɪ̯che, ""gɐch gu͡ɪ̯le hɔe̯ gotɐ।"
184,bɐp gu͡ɪ̯ne hɔe̯ betɐ।
185,mɐ͡o̯ gu͡ɪ̯ne hɔe̯ chɐ͡o̯।
186,"phut̪e gu͡ɪ̯ne hɔe̯ nɐ͡o̯।"""
187,e͡ɪ̯lɪe̯ elɐ͡o̯ e͡ɪ̯lɪe̯ mɪt̪t̪e।
188,hɔe̯ e͡ɪ̯ɾɔkom?
189,hɔe̯ nɐ mɐne?
190,ɔboʃʃo͡ɪ̯।
191,hɔe̯?
192,"hɐmɐɾ mɐ ɟemon ɟɔɾon gɦɔɾe d̪ɦɔɾe d̪ekhchɪ, od̪eon koɾɪ hɐmɐɾ mɐ͡o̯k gɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe d̪ɦɔɾe"
